"label","index","nr_pix","rows_with_1","cols_with_1","rows_with_3p","cols_with_3p","aspect_ratio","neigh_1","no_neigh_above","no_neigh_below","no_neigh_left","no_neigh_right","no_neigh_horiz","no_neigh_vert","connected_areas","eyes","custom"
"a",1,36,0,2,8,6,5,1,7,9,13,12,12,16,84,21,8
"a",2,40,0,1,8,7,3,1,8,10,14,13,12,19,80,42,6
"a",3,48,0,0,9,8,6,0,8,9,15,12,11,23,61,7,5
"a",4,48,0,0,9,8,6,0,8,9,15,12,11,23,59,57,5
"a",5,47,0,3,9,5,10,1,11,11,25,19,26,24,26,27,3
"a",6,39,0,3,8,6,1,1,6,7,19,18,21,18,85,45,5
"a",7,46,0,1,11,7,8,0,8,9,14,11,17,26,16,48,6
"a",8,45,0,0,9,10,5,0,6,8,11,8,6,21,2,81,8
"b",1,31,6,0,6,3,6,0,6,6,14,11,11,11,62,2,4
"b",2,33,5,0,8,4,2,0,5,6,15,10,9,12,1,14,4
"b",3,29,5,0,5,4,5,0,5,7,13,8,9,13,85,68,5
"b",4,33,3,1,6,4,2,0,7,7,15,8,9,17,70,98,5
"b",5,30,5,0,6,4,2,1,5,6,17,13,14,12,63,8,4
"b",6,25,5,1,4,3,1,1,4,6,14,10,13,11,19,52,5
"b",7,31,4,0,5,5,1,1,6,5,17,10,12,12,68,78,4
"b",8,29,5,0,5,4,1,1,5,5,16,10,14,12,89,41,4
"c",1,20,5,1,4,2,2,0,9,8,7,6,7,14,17,24,8
"c",2,24,4,4,2,3,0,2,10,10,8,4,4,15,25,12,7
"c",3,17,6,0,2,1,1,2,8,8,7,5,7,13,46,86,8
"c",4,16,7,1,2,1,2,2,7,7,8,6,7,10,92,24,8
"c",5,20,5,0,2,2,8,2,12,12,5,3,5,17,98,86,9
"c",6,23,5,2,2,4,1,2,11,11,7,3,5,17,84,54,7
"c",7,21,5,0,3,2,1,2,10,10,8,4,6,17,78,46,7
"c",8,23,7,0,3,1,1,1,10,12,9,7,8,16,36,8,6
"d",1,39,2,1,6,6,7,0,7,9,12,8,4,16,60,37,6
"d",2,38,4,1,7,6,7,1,8,6,16,12,13,17,17,76,4
"d",3,33,5,2,6,4,0,2,5,7,13,12,12,15,11,47,5
"d",4,37,1,3,4,3,4,1,8,9,14,8,8,18,37,71,5
"d",5,33,5,4,7,5,7,2,7,4,16,13,16,15,94,4,5
"d",6,29,4,4,6,3,4,1,5,7,13,12,13,15,43,52,5
"d",7,36,6,7,6,5,8,1,8,11,12,12,11,18,7,51,4
"d",8,35,3,1,6,6,0,1,8,7,12,10,7,16,29,49,4
"e",1,25,5,2,4,6,2,2,11,12,9,7,9,19,95,38,7
"e",2,26,4,0,4,7,0,2,13,15,8,5,7,21,35,97,8
"e",3,29,5,3,4,6,9,2,14,14,9,6,9,24,13,35,6
"e",4,21,3,2,4,6,1,2,10,10,10,6,9,16,13,12,9
