label,index,nr_pix,rows_with_1,cols_with_1,rows_with_3p,cols_with_3p,aspect_ratio,neigh_1,no_neigh_above,no_neigh_below,no_neigh_left,no_neigh_right,no_neigh_horiz,no_neigh_vert,connected_areas,eyes,custom
a,1,27,0,1,7,5,1.142857143,0,5,5,8,8,8,7,1,1,0.990674278
a,2,28,0,0,8,6,1.285714286,0,4,4,7,8,13,6,1,1,0.33340712
a,3,25,0,1,6,6,1.285714286,1,4,6,7,7,14,9,1,1,0.077139276
a,4,32,1,0,8,6,0.9,1,4,6,14,12,20,10,1,1,0.0138356
a,5,31,0,2,6,4,1.25,1,8,9,6,7,9,12,1,1,0.64082097
a,6,38,1,2,10,6,1.2,1,6,6,10,11,17,13,1,1,0.462037399
a,7,32,0,1,9,6,1.375,0,5,7,10,8,15,11,1,1,0.00794572
a,8,26,2,0,7,3,1,2,5,4,8,10,15,7,1,1,0.457221784
b,1,26,4,0,3,4,0.6,1,7,7,12,9,12,8,1,1,0.474367127
b,2,32,5,1,4,3,0.666666667,1,8,9,13,12,14,11,1,1,0.76902622
b,3,26,5,1,3,4,0.545454545,2,5,6,13,10,14,7,1,1,0.013426296
b,4,29,7,0,2,2,0.583333333,1,10,11,15,12,15,12,1,1,0.072598775
b,5,32,3,1,5,4,0.727272727,1,7,9,12,11,13,11,1,1,0.612339869
b,6,33,5,0,3,3,0.538461538,1,6,9,16,15,17,9,1,1,0.160266106
b,7,33,5,0,4,3,0.615384615,1,8,8,15,12,16,11,1,1,0.719721453
b,8,30,4,0,3,5,0.583333333,1,6,7,14,11,16,9,1,1,0.091863686
c,1,24,5,0,4,4,0.7,1,7,8,7,8,11,9,1,0,0.716953444
c,2,24,5,0,4,3,0.666666667,2,8,9,9,8,9,9,1,0,0.400306378
c,3,29,5,0,5,4,0.727272727,1,8,9,8,9,11,10,1,0,0.572301124
c,4,21,4,0,3,3,0.555555556,2,6,7,9,10,11,7,1,0,0.867733509
c,5,21,4,0,3,3,0.555555556,1,5,7,9,9,10,7,1,0,0.278108714
c,6,30,6,0,5,6,0.692307692,6,9,9,10,10,16,12,1,0,0.747961879
c,7,22,4,0,4,4,0.75,0,6,8,6,6,7,8,1,0,0.093430521
c,8,28,5,0,5,4,0.818181818,0,9,9,7,9,12,12,1,0,0.274201975
d,1,32,6,0,7,4,0.583333333,2,5,7,13,15,14,7,1,1,0.665779394
d,2,35,8,0,4,5,0.571428571,1,8,6,12,14,15,8,1,1,0.482692927
d,3,31,7,2,5,4,0.615384615,2,6,6,11,14,15,10,1,1,0.029294392
d,4,39,7,1,9,6,0.6,1,3,7,17,18,20,8,1,1,0.494767699
d,5,27,8,0,3,3,0.461538462,1,4,6,12,14,16,7,1,1,0.762901309
d,6,30,7,1,4,3,0.5,2,5,5,14,15,19,10,1,1,0.25949744
d,7,43,0,2,5,4,0.642857143,1,8,10,15,16,11,11,1,1,0.552017951
d,8,42,3,2,6,6,0.6,2,4,6,13,16,14,9,1,1,0.541116143
e,1,31,3,1,6,8,0.888888889,1,11,12,5,5,7,16,1,1,0.767292236
e,2,27,1,1,4,7,1,0,11,12,5,5,7,16,1,1,0.027103713
e,3,30,2,1,5,7,0.875,0,10,11,4,6,6,14,1,1,0.84307059
e,4,32,2,1,6,9,1.125,1,14,15,4,4,7,20,1,1,0.466376873
e,5,28,3,0,4,7,0.6,1,10,9,8,7,12,15,1,1,0.388046847
e,6,28,3,1,4,7,0.777777778,1,10,11,5,6,10,16,1,1,0.876489299
e,7,28,2,0,6,7,0.75,0,8,9,5,6,6,10,1,1,0.141652856
e,8,35,2,0,7,9,0.8,1,12,13,8,7,10,16,1,1,0.706792814
f,1,24,10,2,2,3,0.461538462,4,7,6,12,11,14,8,1,0,0.83518845
f,2,29,10,4,3,3,0.533333333,4,8,7,15,14,17,10,1,0,0.936734587
f,3,26,9,2,2,4,0.357142857,4,5,5,14,14,15,5,1,0,0.07765276
f,4,27,10,3,1,2,0.571428571,4,8,8,12,11,16,12,1,0,0.74461144
f,5,28,11,4,2,4,0.466666667,4,7,7,14,14,15,7,1,0,0.931071574
f,6,23,8,2,2,4,0.416666667,4,4,4,11,11,12,4,1,0,0.396884911
f,7,26,10,3,2,3,0.5,4,7,6,14,13,16,8,1,0,0.75840524
f,8,26,9,2,2,3,0.428571429,4,5,5,13,14,16,7,1,0,0.421725633
g,1,35,2,0,8,6,0.416666667,1,5,7,11,16,15,6,1,1,0.831199304
g,2,41,3,0,8,8,0.5,1,8,8,14,17,21,14,1,1,0.96680672
g,3,37,4,1,8,8,0.75,1,13,10,9,12,13,15,1,1,0.368833433
g,4,33,3,0,6,7,0.545454545,1,9,10,11,14,15,13,1,1,0.932668368
g,5,45,2,0,9,10,0.642857143,2,11,11,14,15,20,18,1,1,0.593721423
g,6,33,3,0,4,7,0.538461538,1,7,8,10,14,16,13,1,1,0.091923763
g,7,40,5,0,8,8,0.571428571,2,10,10,13,15,17,12,1,1,0.358498084
g,8,41,4,0,9,8,0.538461538,1,9,11,13,13,15,16,1,1,0.569664887
h,1,26,6,4,3,3,0.5,3,5,4,18,15,16,4,1,0,0.218863786
h,2,26,5,4,3,3,0.461538462,3,3,2,20,18,22,4,1,0,0.837620852
h,3,26,6,2,3,2,0.384615385,3,3,2,19,17,18,2,1,0,0.184851511
h,4,30,4,3,5,3,0.461538462,3,2,3,21,19,21,3,1,0,0.557117213
h,5,29,5,4,4,3,0.461538462,2,4,3,18,19,18,5,1,0,0.523538623
h,6,31,5,4,5,3,0.5,3,4,3,22,20,22,4,1,0,0.957100641
h,7,28,4,4,4,2,0.461538462,3,3,2,21,19,22,4,1,0,0.698713056
h,8,32,6,3,6,3,0.428571429,2,4,3,21,19,19,3,1,0,0.327106254
i,1,9,9,0,0,1,0,2,2,2,9,9,9,1,2,0,0.537861387
i,2,7,7,0,0,1,0,2,2,2,7,7,7,1,2,0,0.576527934
i,3,16,0,0,0,2,0.111111111,0,4,4,8,8,0,0,2,0,0.027611192
i,4,7,7,0,0,1,0,2,2,2,7,7,7,1,2,0,0.651009476
i,5,10,10,0,0,1,0,2,2,2,10,10,10,1,2,0,0.392917307
i,6,8,8,0,0,1,0,2,2,2,8,8,8,1,2,0,0.618346146
i,7,8,8,0,0,1,0,2,2,2,8,8,8,1,2,0,0.921081921
i,8,8,8,0,0,1,0,2,2,2,8,8,8,1,2,0,0.871976186
j,1,17,8,0,2,2,0.25,3,4,5,7,9,9,5,2,0,0.28772623
j,2,15,8,1,1,2,0.166666667,2,3,4,12,12,12,2,2,0,0.714674789
j,3,21,5,0,2,3,0.230769231,2,6,6,11,13,11,4,2,0,0.206104348
j,4,18,3,0,3,2,0.4,2,5,5,9,11,10,5,2,0,0.811061663
j,5,16,6,1,2,2,0.363636364,2,3,4,10,10,11,2,2,0,0.592222525
